Links,Imagenes,,Temporada,Color,Estilo,Estampado,Escote,Longitud_manga,Corte,Material,Precio,Ventas
https://www.shein.com.mx/SHEIN-LUNE-Solid-Hidden-Pocket-Batwing-Sleeve-Tee-Dress-p-20043258.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/07/22/1690018277d386ce7ee1c1336515fb742399bf09b1_thumbnail_405x552.jpg,,Primavera,Rojo,Casual,Liso,Redondo,Manga corta,Camisa,Algodón,$162.79,15
https://www.shein.com.mx/SHEIN-Belle-V-Neck-Twist-Pleated-Slim-Sexy-Side-Slit-Thigh-Guest-Dress-p-16480700.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/05/22/168473673103bf7ded7e9e88a10ebb984e467a73eb_thumbnail_405x552.jpg,,Otoño,Azul,Sexy,Liso,V,Sin mangas,A línea,Algodón,$170.00,800
https://www.shein.com.mx/Summer-Short-Sleeve-Shirt-Dresses-Irregular-Sexy-Dresses-Flower-Print-Beach-Mini-Dress-p-29781577.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=2&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/01/30/90/1706602244230834939dfe1f37b7d94a1d40335570_thumbnail_405x552.jpg,,Verano,Blanco,Vintage,Floral,V,Manga corta,A línea,Poliuretano,$121.36,80
https://www.shein.com.mx/SHEIN-Frenchy-Allover-Print-Tie-Back-Flare-Sleeve-Dress-p-19940532.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/07/20/1689850215c369c8d7d7717ef72982244e2c85acde_thumbnail_405x552.jpg,,Verano,Cafe,Casual,Generico,Redondo,Manga larga,Natural,Poliuretano,$171.00,300
https://www.shein.com.mx/SHEIN-Priv-Allover-Print-Mock-Neck-Tank-Dress-p-19680838.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/08/01/16908562137ac70ea0f631d71e9d239e01ba8ffa04_thumbnail_405x552.jpg,,Invierno,Verde,Casual,Combinado,Redondo,Sin mangas,Natural,Tela tricotada,$197.00,100
https://www.shein.com.mx/SHEIN-Clasi-Puff-Sleeve-Woven-Plain-Color-Dress-p-28813178.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2024/01/09/ac/17047787575d8eef64ed8e255f01833a89aa325191_thumbnail_405x552.jpg,,Primavera,Morado,Casual,Liso,Redondo,Manga corta,Natural,Poliuretano,$198.00,100
https://www.shein.com.mx/SHEIN-VCAY-Eyelet-Embroidery-Ruffle-Hem-Dress-Without-Belt-p-16379999.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/11/14/53/16999524509cb77c3b3f6bca0bae2acf400f69a385_thumbnail_405x552.jpg,,Otoño,Blanco,Bohemio,Liso,Redondo,Manga corta,Holgado,Poliamida,$339.45,10
https://www.shein.com.mx/Women-s-Short-Sleeve-Ruffle-Dresses-p-30189724.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=2&pageListType=4,https://img.ltwebstatic.com/images3_spmp/2024/01/15/b5/1705306645c1e18cbd2acea465e9cd0e1377f9a4ca_thumbnail_405x552.jpg,,Invierno,Morado,Elegante,Generico,Asimetrico,Sin mangas,Holgado,Algodón,$244.13,10
https://www.shein.com.mx/SHEIN-VCAY-Ditsy-Floral-Knot-Straps-Split-Thigh-Cami-Dress-p-7435097.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2022/02/16/1644981915962e395989f8d0c25ddc4e6d5275b01d_thumbnail_405x552.jpg,,Invierno,Multicolor,Bohemio,Floral,Corazon,Sin mangas,Tirantes,Poliuretano,$161.33,1000
https://www.shein.com.mx/SHEIN-Frenchy-Striped-Print-Button-Front-Butterfly-Sleeve-Short-Summer-Dress-p-17097618.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/06/01/1685610470caa55f28f46b0fdfc9143f294fa8eb43_thumbnail_405x552.jpg,,Invierno,Azul,Casual,Geometrico,V,Manga capa,A línea,Viscosa,$195.78,24
https://www.shein.com.mx/SHEIN-MOD-Solid-Ruched-Mermaid-Hem-Cami-Dress-p-22350102.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/08/31/a1/1693446875d76644643f225e419cf2daac861bfd9d_thumbnail_405x552.jpg,,Invierno,Negro,Elegante,Liso,Recto,Sin mangas,Tirantes,Algodón,$227.76,10
https://www.shein.com.mx/SHEIN-Clasi-Polka-Dot-Tie-Back-Ruffle-Sleeve-Dress-p-3159584.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2021/08/19/16293384345c7f9950d1a0d855898e7ffbc9eeaa20_thumbnail_405x552.jpg,,Otoño,Azul,Bohemio,Geometrico,Redondo,Manga capa,Natural,Poliuretano,$175.00,200
https://www.shein.com.mx/SHEIN-LUNE-Colorblock-Belted-A-line-Dress-p-20781433.html?src_identifier=on%3DIMAGE_COMPONENT%60cn%3Dshopbycategory%60hz%3DhotZone_1%60ps%3D4_1%60jc%3Dreal_2030&src_module=All&src_tab_page_id=page_home1709171303983&mallCode=1&pageListType=4,https://img.ltwebstatic.com/images3_pi/2023/08/02/02/1690965025435ccca7f93c3fb32af1045812e79ec9_thumbnail_405x552.jpg,,Primavera,Rojo,Casual,Combinado,Redondo,Manga corta,A línea,Tela tricotada,$227.76,19
